,Date,HosPt,PUI,Suspected,Lab_Neg,Confirmed,Death,Recovered,Pending,Tested
0,27-03-2020,372.0,370.0,2.0,334.0,8.0,0.0,0.0,30.0,null
1,28-03-2020,430.0,428.0,2.0,367.0,8.0,0.0,0.0,55.0,null
2,29-03-2020,476.0,474.0,2.0,403.0,10.0,0.0,0.0,63.0,null
3,30-03-2020,517.0,515.0,2.0,426.0,14.0,0.0,0.0,77.0,null
4,31-03-2020,561.0,559.0,2.0,497.0,15.0,1.0,0.0,49.0,null
5,01-04-2020,597.0,595.0,2.0,498.0,16.0,1.0,0.0,83.0,null
6,02-04-2020,644.0,642.0,2.0,534.0,20.0,1.0,0.0,90.0,null
7,03-04-2020,690.0,688.0,2.0,616.0,20.0,1.0,0.0,54.0,null
8,04-04-2020,748.0,746.0,2.0,616.0,21.0,1.0,0.0,111.0,null
9,05-04-2020,786.0,784.0,2.0,669.0,21.0,1.0,0.0,96.0,null
10,06-04-2020,818.0,816.0,2.0,713.0,22.0,1.0,0.0,83.0,null
11,07-04-2020,837.0,835.0,2.0,769.0,22.0,1.0,0.0,46.0,null
12,08-04-2020,837.0,835.0,2.0,788.0,22.0,3.0,0.0,27.0,null
13,09-04-2020,948.0,946.0,2.0,819.0,23.0,3.0,2.0,106.0,null
14,10-04-2020,949.0,947.0,2.0,819.0,27.0,3.0,2.0,103.0,null
15,11-04-2020,1000.0,998.0,2.0,883.0,28.0,3.0,2.0,89.0,null
16,11-04-2020,1106.0,1104.0,2.0,924.0,31.0,3.0,2.0,151.0,null
17,12-04-2020,1105.0,1103.0,2.0,924.0,38.0,3.0,2.0,143.0,null
18,12-04-2020,1172.0,1170.0,2.0,993.0,39.0,4.0,2.0,140.0,null
19,13-04-2020,1172.0,1170.0,2.0,993.0,41.0,4.0,2.0,140.0,null
20,14-04-2020,null,1394.0,null,null,63.0,4.0,2.0,null,null
21,15-04-2020,null,1394.0,null,null,74.0,4.0,2.0,null,2803.0
22,16-04-2020,null,null,null,null,null,null,null,null,null
23,17-04-2020,null,1503.0,null,null,85.0,4.0,2.0,null,3236.0
24,18-04-2020,null,1878.0,null,null,98.0,5.0,5.0,null,4065.0
25,19-04-2020,null,1967.0,null,null,108.0,5.0,7.0,null,4605.0
26,20-04-2020,null,1967.0,null,null,111.0,5.0,7.0,null,4786.0
27,20-04-2020,null,2089.0,null,null,119.0,5.0,7.0,null,4692.0
28,21-04-2020,null,2212.0,null,null,121.0,5.0,7.0,null,5198.0
